x index;y index;crate;board;order;MEZ CH#;FEE CH#;PHY;Count;Holder;CableType;FEE-LEFT;;;;FEE-RIGHT;;;;
14;3;0;3;9;3;2;1;629;H0447;22;0;3;2;;9;3;2;;
15;3;0;3;10;3;3;1;630;H0442;;0;3;3;;9;3;3;;
16;3;0;3;11;3;4;1;631;H0467;;0;3;4;;9;3;4;;
17;3;0;2;3;1;4;1;632;H0344;;0;1;4;;9;1;4;;
18;3;0;2;4;1;5;1;633;H0302;;0;1;5;;9;1;5;;
19;3;0;2;5;2;2;1;634;H0452;17;0;2;2;;9;2;2;;
20;3;0;2;6;2;3;1;635;H0451;;0;2;3;;9;2;3;;
21;3;0;1;1;1;2;1;636;H0238;14;0;1;2;;9;1;2;;
0;4;0;1;16;4;5;0;590;H0404;;0;4;5;;9;4;5;;
1;4;0;1;17;5;2;0;591;H0575;14;0;5;2;;9;5;2;;
2;4;0;1;18;5;3;0;592;H0481;;0;5;3;;9;5;3;;
3;4;0;1;19;5;4;0;593;H0489;;0;5;4;;9;5;4;;
4;4;0;2;12;3;5;0;594;H0480;;0;3;5;;9;3;5;;
5;4;0;2;13;4;2;0;595;H0419;17;0;4;2;;9;4;2;;
6;4;0;2;14;4;3;0;596;H0548;;0;4;3;;9;4;3;;
7;4;0;3;6;2;3;0;597;H0400;;0;2;3;;9;2;3;;
8;4;0;3;7;2;4;0;598;H0484;;0;2;4;;9;2;4;;
9;4;0;3;8;2;5;0;599;H1366;;0;2;5;;9;2;5;;
10;4;0;4;5;2;2;0;600;H0439;25;0;2;2;;9;2;2;;
11;4;0;4;6;2;3;0;601;H0255;;0;2;3;;9;2;3;;
12;4;0;4;7;2;4;0;602;H0351;;0;2;4;;9;2;4;;
13;4;0;4;15;4;4;1;603;H0371;;0;4;4;;9;4;4;;
14;4;0;4;16;4;5;1;604;H0336;;0;4;5;;9;4;5;;
15;4;0;3;12;3;5;1;605;H0262;;0;3;5;;9;3;5;;
16;4;0;3;13;4;2;1;606;H0334;22;0;4;2;;9;4;2;;
17;4;0;3;14;4;3;1;607;H0389;;0;4;3;;9;4;3;;
18;4;0;2;7;2;4;1;608;H0320;;0;2;4;;9;2;4;;
19;4;0;2;8;2;5;1;609;H0280;;0;2;5;;9;2;5;;
20;4;0;2;9;3;2;1;610;H0335;17;0;3;2;;9;3;2;;
21;4;0;2;10;3;3;1;611;H0777;;0;3;3;;9;3;3;;
22;4;0;1;2;1;3;1;612;H0779;;0;1;3;;9;1;3;;
23;4;0;1;3;1;4;1;613;H0751;;0;1;4;;9;1;4;;
24;4;0;1;4;1;5;1;614;H0740;;0;1;5;;9;1;5;;
0;5;1;4;20;5;5;0;564;H0361;;0;5;5;;9;5;5;;
1;5;0;1;12;3;5;0;565;H0354;;0;3;5;;9;3;5;;
2;5;0;1;13;4;2;0;566;H0830;14;0;4;2;;9;4;2;;
3;5;0;1;14;4;3;0;567;H0764;;0;4;3;;9;4;3;;
4;5;0;1;15;4;4;0;568;H0784;;0;4;4;;9;4;4;;
5;5;0;2;9;3;2;0;569;H0703;17;0;3;2;;9;3;2;;
6;5;0;2;10;3;3;0;570;H0799;;0;3;3;;9;3;3;;
7;5;0;2;11;3;4;0;571;H0359;;0;3;4;;9;3;4;;
8;5;0;3;3;1;4;0;572;H0346;;0;1;4;;9;1;4;;
9;5;0;3;4;1;5;0;573;H0356;;0;1;5;;9;1;5;;
10;5;0;3;5;2;2;0;574;H0755;22;0;2;2;;9;2;2;;
11;5;0;4;3;1;4;0;575;H0768;;0;1;4;;9;1;4;;
12;5;0;4;4;1;5;0;576;H0754;;0;1;5;;9;1;5;;
13;5;0;4;17;5;2;1;577;H0839;25;0;5;2;;9;5;2;;
14;5;0;4;18;5;3;1;578;H0804;;0;5;3;;9;5;3;;
15;5;0;3;15;4;4;1;579;H0707;;0;4;4;;9;4;4;;
16;5;0;3;16;4;5;1;580;H0759;;0;4;5;;9;4;5;;
17;5;0;3;17;5;2;1;581;H0767;22;0;5;2;;9;5;2;;
18;5;0;2;11;3;4;1;582;H0823;;0;3;4;;9;3;4;;
19;5;0;2;12;3;5;1;583;H0801;;0;3;5;;9;3;5;;
20;5;0;2;13;4;2;1;584;H0757;19;0;4;2;;9;4;2;;
21;5;0;2;14;4;3;1;585;H0714;;0;4;3;;9;4;3;;
22;5;0;1;5;2;2;1;586;H0760;14;0;2;2;;9;2;2;;
23;5;0;1;6;2;3;1;587;H0803;;0;2;3;;9;2;3;;
24;5;0;1;7;2;4;1;588;H0797;;0;2;4;;9;2;4;;
25;5;0;1;8;2;5;1;589;H0753;;0;2;5;;9;2;5;;
0;6;1;4;19;5;4;0;534;H0267;;0;5;4;;9;5;4;;
1;6;1;4;18;5;3;0;535;H0350;;0;5;3;;9;5;3;;
2;6;1;4;17;5;2;0;536;H0390;19;0;5;2;;9;5;2;;
3;6;0;1;8;2;5;0;537;H0243;;0;2;5;;9;2;5;;
4;6;0;1;9;3;2;0;538;H0343;16;0;3;2;;9;3;2;;
5;6;0;1;10;3;3;0;539;H0379;;0;3;3;;9;3;3;;
6;6;0;1;11;3;4;0;540;H0385;;0;3;4;;9;3;4;;
7;6;0;2;6;2;3;0;541;H0375;;0;2;3;;9;2;3;;
8;6;0;2;7;2;4;0;542;H0266;;0;2;4;;9;2;4;;
9;6;0;2;8;2;5;0;543;H0429;;0;2;5;;9;2;5;;
10;6;0;3;1;1;2;0;544;H0782;22;0;1;2;;9;1;2;;
11;6;0;3;2;1;3;0;545;H0819;;0;1;3;;9;1;3;;
12;6;0;4;1;1;2;0;546;H0763;25;0;1;2;;9;1;2;;
13;6;0;4;2;1;3;0;547;H0420;;0;1;3;;9;1;3;;
14;6;0;4;19;5;4;1;548;H0431;;0;5;4;;9;5;4;;
15;6;0;4;20;5;5;1;549;H0462;;0;5;5;;9;5;5;;
16;6;0;3;18;5;3;1;550;H0709;;0;5;3;;9;5;3;;
17;6;0;3;19;5;4;1;551;H0765;;0;5;4;;9;5;4;;
18;6;0;3;20;5;5;1;552;H0461;;0;5;5;;9;5;5;;
19;6;0;2;15;4;4;1;553;H0450;;0;4;4;;9;4;4;;
20;6;0;2;16;4;5;1;554;H0574;;0;4;5;;9;4;5;;
21;6;0;2;17;5;2;1;555;H0521;19;0;5;2;;9;5;2;;
22;6;0;1;9;3;2;1;556;H0699;16;0;3;2;;9;3;2;;
23;6;0;1;10;3;3;1;557;H0572;;0;3;3;;9;3;3;;
24;6;0;1;11;3;4;1;558;H0433;;0;3;4;;9;3;4;;
25;6;0;1;12;3;5;1;559;H0855;;0;3;5;;9;3;5;;
26;6;1;4;3;1;4;1;560;H0434;;0;1;4;;9;1;4;;
27;6;1;4;2;1;3;1;561;H0761;;0;1;3;;9;1;3;;
28;6;1;4;1;1;2;1;562;H0440;19;0;1;2;;9;1;2;;
0;7;1;4;16;4;5;0;509;H0820;;0;4;5;;9;4;5;;
1;7;1;4;15;4;4;0;510;H0704;;0;4;4;;9;4;4;;
2;7;1;4;14;4;3;0;511;H0530;;0;4;3;;9;4;3;;
3;7;1;4;13;4;2;0;512;H0762;19;0;4;2;;9;4;2;;
4;7;1;4;12;3;5;0;513;H0415;;0;3;5;;9;3;5;;
5;7;0;1;5;2;2;0;514;H0363;16;0;2;2;;9;2;2;;
6;7;0;1;6;2;3;0;515;H0322;;0;2;3;;9;2;3;;
7;7;0;1;7;2;4;0;516;H0217;;0;2;4;;9;2;4;;
8;7;0;2;2;1;3;0;517;H0263;;0;1;3;;9;1;3;;
9;7;0;2;3;1;4;0;518;H0261;;0;1;4;;9;1;4;;
10;7;0;2;4;1;5;0;519;H0329;;0;1;5;;9;1;5;;
11;7;0;2;5;2;2;0;520;H0345;19;0;2;2;;9;2;2;;
12;7;0;2;18;5;3;1;521;H0248;;0;5;3;;9;5;3;;
13;7;0;2;19;5;4;1;522;H0323;;0;5;4;;9;5;4;;
14;7;0;2;20;5;5;1;523;H0360;;0;5;5;;9;5;5;;
15;7;0;1;13;4;2;1;524;H0244;16;0;4;2;;9;4;2;;
16;7;0;1;14;4;3;1;525;H0258;;0;4;3;;9;4;3;;
17;7;0;1;15;4;4;1;526;H0282;;0;4;4;;9;4;4;;
